book_id	language	TF_language_val
31	eng	1.0
447	eng	1.0
312	en-us	1.0
1052	eng	1.0
16	eng	1.0
709	eng	1.0
258	eng	1.0
520	eng	1.0
407	eng	1.0
550	eng	1.0
1205	eng	1.0
1282	eng	1.0
908	eng	1.0
1101	en-us	1.0
572	eng	1.0
484	eng	1.0
777	en-us	1.0
193	en-us	1.0
366	eng	1.0
498	eng	1.0
1011	eng	1.0
247	en-us	1.0
658	eng	1.0
779	eng	1.0
483	en-us	1.0
935	eng	1.0
734	en-us	1.0
902	eng	1.0
757	en-us	1.0
362	eng	1.0
557	eng	1.0
1214	eng	1.0
1055	eng	1.0
298	eng	1.0
839	eng	1.0
664	eng	1.0
763	eng	1.0
1253	en-us	1.0
809	eng	1.0
1266	eng	1.0
1327	eng	1.0
402	en-gb	1.0
98	eng	1.0
974	eng	1.0
494	eng	1.0
86	eng	1.0
635	eng	1.0
896	eng	1.0
708	eng	1.0
422	eng	1.0
1121	eng	1.0
1090	eng	1.0
1312	eng	1.0
1250	en-us	1.0
748	eng	1.0
1231	en-us	1.0
227	eng	1.0
651	eng	1.0
1223	eng	1.0
432	eng	1.0
930	eng	1.0
249	en-us	1.0
584	eng	1.0
764	eng	1.0
17	eng	1.0
998	eng	1.0
1380	en-gb	1.0
380	eng	1.0
1384	eng	1.0
182	eng	1.0
762	eng	1.0
1064	eng	1.0
1038	eng	1.0
1237	eng	1.0
723	eng	1.0
169	en-gb	1.0
41	eng	1.0
1216	en-us	1.0
396	eng	1.0
1100	en-us	1.0
1	eng	1.0
127	eng	1.0
314	en-us	1.0
175	eng	1.0
1391	eng	1.0
214	eng	1.0
1290	eng	1.0
377	eng	1.0
964	eng	1.0
151	eng	1.0
1155	en-us	1.0
618	eng	1.0
1258	eng	1.0
469	eng	1.0
1298	en-us	1.0
918	eng	1.0
1137	eng	1.0
1199	eng	1.0
1172	eng	1.0
1131	eng	1.0
281	eng	1.0
601	eng	1.0
51	eng	1.0
246	en-us	1.0
153	eng	1.0
134	en-us	1.0
449	en-us	1.0
643	en-us	1.0
491	en-us	1.0
783	eng	1.0
981	en-us	1.0
814	eng	1.0
159	eng	1.0
568	eng	1.0
216	eng	1.0
1120	eng	1.0
1211	en-us	1.0
863	en-us	1.0
853	eng	1.0
441	eng	1.0
1003	eng	1.0
343	eng	1.0
833	eng	1.0
1037	eng	1.0
1388	eng	1.0
596	eng	1.0
1301	eng	1.0
975	en-gb	1.0
923	eng	1.0
1048	en-us	1.0
866	eng	1.0
706	eng	1.0
699	eng	1.0
972	eng	1.0
526	eng	1.0
1247	eng	1.0
450	en-us	1.0
891	eng	1.0
1034	eng	1.0
1127	eng	1.0
1228	eng	1.0
1340	eng	1.0
1304	eng	1.0
1363	eng	1.0
808	eng	1.0
1060	en-us	1.0
719	eng	1.0
442	eng	1.0
1111	eng	1.0
254	eng	1.0
208	eng	1.0
221	eng	1.0
761	eng	1.0
547	eng	1.0
758	eng	1.0
211	en-us	1.0
574	eng	1.0
1091	nl	1.0
1339	en-us	1.0
800	eng	1.0
933	en-us	1.0
969	en-us	1.0
493	eng	1.0
628	eng	1.0
785	eng	1.0
871	en-us	1.0
657	eng	1.0
414	en-us	1.0
1021	en-us	1.0
315	eng	1.0
403	eng	1.0
201	eng	1.0
291	eng	1.0
140	en-us	1.0
1068	en-us	1.0
1051	eng	1.0
1159	en-gb	1.0
1300	en-us	1.0
1275	eng	1.0
20	eng	1.0
355	en-ca	1.0
804	en-us	1.0
1204	eng	1.0
511	eng	1.0
665	eng	1.0
729	eng	1.0
881	en-us	1.0
1392	en-us	1.0
1154	en-us	1.0
1280	eng	1.0
869	eng	1.0
654	en-us	1.0
598	eng	1.0
389	eng	1.0
875	en-us	1.0
202	en-us	1.0
394	en-us	1.0
384	eng	1.0
152	en-us	1.0
1136	en-us	1.0
754	eng	1.0
333	eng	1.0
1150	eng	1.0
1099	eng	1.0
260	eng	1.0
846	eng	1.0
412	en-us	1.0
1106	en-us	1.0
1314	eng	1.0
440	eng	1.0
1181	eng	1.0
823	en-us	1.0
1269	eng	1.0
791	en-us	1.0
1050	eng	1.0
801	eng	1.0
224	en-us	1.0
338	eng	1.0
906	eng	1.0
144	eng	1.0
91	eng	1.0
269	en-us	1.0
1007	en-gb	1.0
692	en-us	1.0
183	eng	1.0
571	en-us	1.0
552	en-us	1.0
645	eng	1.0
507	eng	1.0
726	en-us	1.0
340	en-us	1.0
847	en-us	1.0
638	eng	1.0
124	eng	1.0
303	eng	1.0
680	eng	1.0
613	en-gb	1.0
1303	en-us	1.0
1234	en-us	1.0
744	eng	1.0
573	en-us	1.0
106	eng	1.0
1128	eng	1.0
1070	eng	1.0
1018	eng	1.0
1286	eng	1.0
1049	eng	1.0
286	en-us	1.0
439	eng	1.0
1318	en-us	1.0
788	fre	1.0
1024	eng	1.0
1361	eng	1.0
697	eng	1.0
188	eng	1.0
1207	eng	1.0
588	en-us	1.0
1138	eng	1.0
477	eng	1.0
1016	en-gb	1.0
1358	eng	1.0
521	eng	1.0
139	en-us	1.0
659	eng	1.0
1309	en-gb	1.0
185	eng	1.0
12	eng	1.0
379	eng	1.0
802	en-us	1.0
710	eng	1.0
309	en-us	1.0
351	eng	1.0
1132	eng	1.0
1259	en-us	1.0
909	eng	1.0
434	en-us	1.0
685	eng	1.0
147	eng	1.0
88	en-us	1.0
1244	eng	1.0
415	en-us	1.0
1382	en-gb	1.0
192	eng	1.0
1273	en-us	1.0
775	en-us	1.0
406	en-us	1.0
1325	eng	1.0
900	eng	1.0
1256	en-gb	1.0
914	eng	1.0
280	eng	1.0
1302	eng	1.0
475	en-us	1.0
166	eng	1.0
1279	eng	1.0
435	eng	1.0
382	eng	1.0
849	eng	1.0
1066	en-us	1.0
844	eng	1.0
876	en-ca	1.0
968	eng	1.0
1369	eng	1.0
882	en-us	1.0
1059	eng	1.0
1193	en-us	1.0
543	eng	1.0
419	en-us	1.0
686	en-us	1.0
683	eng	1.0
716	en-us	1.0
1215	eng	1.0
952	eng	1.0
1386	eng	1.0
825	eng	1.0
1305	en-us	1.0
797	eng	1.0
1025	en-us	1.0
163	eng	1.0
392	en-us	1.0
1323	eng	1.0
421	eng	1.0
482	en-ca	1.0
295	eng	1.0
1058	eng	1.0
648	en-us	1.0
1201	eng	1.0
294	eng	1.0
821	en-us	1.0
220	en-us	1.0
128	eng	1.0
445	en-ca	1.0
924	eng	1.0
1030	eng	1.0
1334	eng	1.0
1338	eng	1.0
1344	eng	1.0
6	eng	1.0
363	en-us	1.0
957	en-us	1.0
600	eng	1.0
149	en-us	1.0
517	eng	1.0
1004	en-us	1.0
995	eng	1.0
656	en-us	1.0
1191	eng	1.0
1354	eng	1.0
649	eng	1.0
732	eng	1.0
1189	eng	1.0
1168	eng	1.0
1206	eng	1.0
989	eng	1.0
1096	eng	1.0
1156	en-us	1.0
1008	eng	1.0
370	eng	1.0
759	en-us	1.0
1229	en-us	1.0
548	en-us	1.0
428	eng	1.0
1335	eng	1.0
562	eng	1.0
1114	eng	1.0
737	en-us	1.0
822	eng	1.0
907	eng	1.0
632	en-us	1.0
1056	eng	1.0
1148	eng	1.0
1359	eng	1.0
404	eng	1.0
466	eng	1.0
1270	eng	1.0
69	eng	1.0
290	eng	1.0
34	eng	1.0
327	eng	1.0
1313	eng	1.0
1069	en-us	1.0
619	eng	1.0
747	en-us	1.0
99	eng	1.0
96	eng	1.0
629	eng	1.0
677	eng	1.0
634	eng	1.0
1072	en-us	1.0
1115	en-us	1.0
1293	en-us	1.0
735	eng	1.0
880	en-us	1.0
805	eng	1.0
1227	eng	1.0
1093	en-us	1.0
418	eng	1.0
711	eng	1.0
1140	eng	1.0
1077	eng	1.0
1141	en-us	1.0
1188	eng	1.0
1197	eng	1.0
1164	eng	1.0
218	eng	1.0
904	eng	1.0
1036	eng	1.0
962	eng	1.0
203	eng	1.0
1292	eng	1.0
589	en-ca	1.0
644	eng	1.0
1246	eng	1.0
433	eng	1.0
1209	eng	1.0
960	eng	1.0
1200	eng	1.0
746	eng	1.0
1254	eng	1.0
30	eng	1.0
342	eng	1.0
535	eng	1.0
1297	eng	1.0
302	eng	1.0
689	eng	1.0
932	eng	1.0
1157	en-us	1.0
582	eng	1.0
1086	eng	1.0
956	en-us	1.0
1190	eng	1.0
980	eng	1.0
307	eng	1.0
313	eng	1.0
978	eng	1.0
190	eng	1.0
385	eng	1.0
771	eng	1.0
522	eng	1.0
917	eng	1.0
250	eng	1.0
1333	eng	1.0
320	eng	1.0
1047	eng	1.0
502	en-gb	1.0
112	eng	1.0
947	en-us	1.0
244	en-us	1.0
226	eng	1.0
551	eng	1.0
1374	eng	1.0
164	eng	1.0
910	eng	1.0
749	eng	1.0
698	en-us	1.0
277	eng	1.0
146	eng	1.0
452	eng	1.0
1009	eng	1.0
1006	eng	1.0
954	en-us	1.0
1109	en-us	1.0
1000	eng	1.0
928	eng	1.0
1356	eng	1.0
567	eng	1.0
837	eng	1.0
756	eng	1.0
252	eng	1.0
240	eng	1.0
684	eng	1.0
655	eng	1.0
603	eng	1.0
973	eng	1.0
253	en-us	1.0
1195	eng	1.0
816	eng	1.0
235	eng	1.0
359	eng	1.0
993	eng	1.0
794	eng	1.0
892	eng	1.0
1170	eng	1.0
630	eng	1.0
878	en-gb	1.0
105	eng	1.0
1263	eng	1.0
745	eng	1.0
1081	eng	1.0
1182	eng	1.0
1346	eng	1.0
1230	eng	1.0
1242	eng	1.0
1281	eng	1.0
1152	eng	1.0
1330	eng	1.0
1350	en-us	1.0
319	eng	1.0
673	eng	1.0
1169	eng	1.0
1092	eng	1.0
870	eng	1.0
318	eng	1.0
470	eng	1.0
991	eng	1.0
803	eng	1.0
810	eng	1.0
460	eng	1.0
607	eng	1.0
1268	en-us	1.0
884	eng	1.0
970	eng	1.0
678	eng	1.0
285	eng	1.0
1040	eng	1.0
813	eng	1.0
713	eng	1.0
581	eng	1.0
1002	eng	1.0
1045	eng	1.0
850	eng	1.0
702	en-gb	1.0
807	eng	1.0
1328	eng	1.0
348	eng	1.0
537	eng	1.0
1331	eng	1.0
1017	eng	1.0
437	en-us	1.0
610	eng	1.0
1385	eng	1.0
259	eng	1.0
376	eng	1.0
946	eng	1.0
1243	eng	1.0
988	en-us	1.0
1027	eng	1.0
1192	eng	1.0
987	eng	1.0
564	en-us	1.0
141	eng	1.0
1347	en-us	1.0
458	eng	1.0
1212	eng	1.0
695	eng	1.0
979	eng	1.0
623	eng	1.0
668	eng	1.0
836	eng	1.0
532	eng	1.0
393	eng	1.0
1241	eng	1.0
931	eng	1.0
585	eng	1.0
720	eng	1.0
874	eng	1.0
942	eng	1.0
811	eng	1.0
1349	eng	1.0
858	eng	1.0
1082	eng	1.0
352	eng	1.0
61	eng	1.0
990	eng	1.0
1029	eng	1.0
921	eng	1.0
920	eng	1.0
830	en-us	1.0
841	eng	1.0
334	eng	1.0
1371	en-us	1.0
938	en-us	1.0
539	eng	1.0
1165	eng	1.0
1285	eng	1.0
536	eng	1.0
859	en-us	1.0
267	eng	1.0
827	eng	1.0
965	eng	1.0
1129	eng	1.0
1162	en-us	1.0
206	en-us	1.0
1143	eng	1.0
617	eng	1.0
1062	eng	1.0
423	eng	1.0
506	eng	1.0
774	eng	1.0
886	eng	1.0
1044	eng	1.0
926	eng	1.0
566	eng	1.0
533	eng	1.0
1307	eng	1.0
1252	en-us	1.0
583	eng	1.0
842	eng	1.0
262	eng	1.0
1130	eng	1.0
1022	eng	1.0
950	eng	1.0
1220	eng	1.0
1065	eng	1.0
1187	eng	1.0
1341	eng	1.0
1326	eng	1.0
812	eng	1.0
1028	eng	1.0
862	eng	1.0
459	eng	1.0
1306	eng	1.0
438	eng	1.0
279	eng	1.0
1174	eng	1.0
1345	eng	1.0
1076	eng	1.0
940	eng	1.0
752	en-ca	1.0
1264	eng	1.0
889	eng	1.0
1291	eng	1.0
861	eng	1.0
1134	eng	1.0
676	eng	1.0
1104	en-gb	1.0
8249	eng	1.0
6318	en-us	1.0
3937	en-us	1.0
8049	eng	1.0
8766	eng	1.0
4613	eng	1.0
6611	eng	1.0
2806	eng	1.0
4700	eng	1.0
1642	eng	1.0
1657	en-us	1.0
1856	en-us	1.0
4979	en-us	1.0
1477	eng	1.0
8832	en-us	1.0
2416	eng	1.0
4257	eng	1.0
2215	eng	1.0
1580	eng	1.0
1457	eng	1.0
6644	en-us	1.0
7354	eng	1.0
9180	eng	1.0
2041	eng	1.0
8776	eng	1.0
6823	en-us	1.0
4289	en-us	1.0
1801	eng	1.0
4101	eng	1.0
2015	eng	1.0
3585	eng	1.0
1949	eng	1.0
8591	eng	1.0
5567	eng	1.0
4014	eng	1.0
1436	eng	1.0
4139	eng	1.0
4057	eng	1.0
4460	eng	1.0
3562	eng	1.0
3755	eng	1.0
1664	eng	1.0
3580	eng	1.0
1873	eng	1.0
2939	eng	1.0
3963	eng	1.0
3642	eng	1.0
1454	en-us	1.0
3519	eng	1.0
2571	eng	1.0
9623	eng	1.0
1435	eng	1.0
2063	eng	1.0
6604	eng	1.0
3237	eng	1.0
6299	eng	1.0
9478	eng	1.0
2092	eng	1.0
3796	eng	1.0
3274	eng	1.0
1916	en-us	1.0
1549	en-us	1.0
1783	eng	1.0
3818	en-us	1.0
1984	en-us	1.0
3215	en-us	1.0
1488	eng	1.0
4802	en-us	1.0
2630	eng	1.0
6383	eng	1.0
2994	eng	1.0
5615	eng	1.0
6261	eng	1.0
2468	eng	1.0
4068	eng	1.0
3508	eng	1.0
1520	eng	1.0
3590	eng	1.0
2027	eng	1.0
3428	en-us	1.0
3472	eng	1.0
3628	eng	1.0
7309	eng	1.0
4515	eng	1.0
1752	eng	1.0
4473	eng	1.0
2051	eng	1.0
9036	eng	1.0
3143	en-us	1.0
2353	eng	1.0
1572	eng	1.0
3082	eng	1.0
3396	eng	1.0
3660	eng	1.0
2883	eng	1.0
2633	en-gb	1.0
5928	en-gb	1.0
5052	eng	1.0
4520	eng	1.0
1491	en-us	1.0
1669	eng	1.0
3348	eng	1.0
6039	eng	1.0
2485	eng	1.0
1974	en-us	1.0
1695	eng	1.0
5999	eng	1.0
7970	en-us	1.0
8817	eng	1.0
4092	eng	1.0
4288	en-us	1.0
3108	en-us	1.0
1640	en-us	1.0
3207	eng	1.0
5179	eng	1.0
1964	eng	1.0
3278	en-gb	1.0
8523	eng	1.0
2763	en-gb	1.0
2544	eng	1.0
2745	eng	1.0
8949	eng	1.0
7622	en-us	1.0
4758	eng	1.0
1586	eng	1.0
2236	eng	1.0
2366	eng	1.0
4244	eng	1.0
2625	eng	1.0
1709	en-us	1.0
8444	en-us	1.0
2370	eng	1.0
3957	eng	1.0
6552	en-us	1.0
1599	en-us	1.0
4602	eng	1.0
3206	eng	1.0
6230	en-us	1.0
3493	eng	1.0
7251	en-us	1.0
6998	eng	1.0
5327	eng	1.0
2133	eng	1.0
4298	eng	1.0
2510	eng	1.0
2363	en-us	1.0
6190	eng	1.0
8721	eng	1.0
4989	en-us	1.0
2262	eng	1.0
8694	eng	1.0
6715	eng	1.0
2016	eng	1.0
7132	en-us	1.0
5121	eng	1.0
5758	eng	1.0
1567	en-gb	1.0
4265	en-us	1.0
5737	en-us	1.0
2455	eng	1.0
9887	eng	1.0
3588	eng	1.0
7164	eng	1.0
1682	en-us	1.0
2174	en-us	1.0
1772	eng	1.0
2389	eng	1.0
2017	eng	1.0
4256	eng	1.0
6981	en-us	1.0
4530	eng	1.0
4293	eng	1.0
5496	eng	1.0
2268	en-us	1.0
4660	eng	1.0
5033	eng	1.0
1629	eng	1.0
4772	en-us	1.0
3008	en-us	1.0
2454	eng	1.0
6702	eng	1.0
3718	eng	1.0
4994	eng	1.0
1471	en-us	1.0
8630	eng	1.0
