user_id	language	UA_language_val
30794	spa	4.0
30794	en-gb	6.0
30794	fre	3.0
18798	eng	511.0
18798	en-us	103.0
18798	en-ca	6.0
18798	ger	3.0
30944	eng	646.0
30944	en-us	130.0
30944	en-ca	8.0
30944	spa	4.0
30944	en-gb	17.0
20467	eng	380.0
20467	en-us	144.0
20467	en-gb	16.0
20467	en-ca	6.0
32055	en-us	73.0
32055	eng	515.0
32055	en-ca	5.0
32055	en-gb	12.0
32055	spa	3.0
32305	eng	555.0
32305	en-us	86.0
32305	spa	5.0
32635	eng	479.0
32635	en-us	122.0
32635	spa	3.0
32635	en-gb	8.0
32635	en-ca	3.0
32748	eng	636.0
32748	en-us	146.0
32748	fre	5.0
32748	en-gb	9.0
32748	spa	5.0
32748	en-ca	5.0
32748	jpn	5.0
32923	eng	527.0
32923	en-us	73.0
32923	en-gb	11.0
32923	en-ca	8.0
32923	spa	4.0
19729	en-us	111.0
19729	eng	571.0
19729	en-gb	3.0
19729	en-ca	4.0
19729	spa	4.0
19729	fre	3.0
32745	eng	513.0
32745	en-us	114.0
32745	spa	3.0
32745	en-gb	21.0
32745	ger	7.0
32745	fre	6.0
33065	eng	602.0
33065	en-us	131.0
33065	spa	3.0
33065	en-ca	5.0
33065	en-gb	4.0
33065	ger	5.0
33697	eng	501.0
33697	en-us	135.0
33697	en-gb	4.0
33697	en-ca	15.0
33716	eng	479.0
33716	en-us	150.0
33716	en-ca	6.0
33716	en-gb	6.0
33872	eng	504.0
33872	en-us	158.0
33872	en-gb	17.0
33872	ger	4.0
33872	en-ca	8.0
27934	eng	558.0
27934	spa	3.0
27934	en-us	101.0
27934	en-gb	4.0
36099	eng	620.0
36099	en-gb	19.0
36099	fre	4.0
36099	en-us	152.0
36099	spa	9.0
36099	en-ca	4.0
37284	en-us	199.0
37284	eng	434.0
37284	en-gb	13.0
37284	fre	8.0
37284	spa	14.0
37284	en-ca	8.0
37834	eng	600.0
37834	en-us	153.0
37834	fre	4.0
37834	en-gb	7.0
37834	spa	8.0
37834	en-ca	8.0
38082	en-us	193.0
38082	eng	527.0
38082	en-gb	15.0
38082	en-ca	5.0
38082	spa	8.0
38475	eng	516.0
38475	en-us	136.0
38475	en-ca	3.0
38475	en-gb	13.0
38475	spa	4.0
38865	en-us	169.0
38865	eng	444.0
38865	en-gb	35.0
38865	spa	3.0
38865	fre	11.0
38865	en-ca	3.0
26579	en-us	144.0
26579	eng	341.0
26579	en-gb	9.0
26579	fre	2.0
39703	eng	708.0
39703	en-us	149.0
39703	en-gb	8.0
39703	en-ca	5.0
39703	fre	5.0
41074	eng	469.0
41074	en-us	122.0
41074	en-ca	3.0
41074	en-gb	3.0
33890	eng	393.0
33890	en-gb	19.0
33890	en-us	88.0
33890	spa	3.0
33890	en-ca	3.0
27499	eng	608.0
27499	en-us	129.0
27499	en-gb	10.0
27499	spa	10.0
42404	eng	508.0
42404	en-us	183.0
42404	en-gb	31.0
42404	en-ca	9.0
42404	fre	7.0
42508	eng	451.0
42508	en-us	139.0
42508	en-ca	8.0
42508	en-gb	25.0
42508	nl	3.0
42574	eng	620.0
42574	en-us	138.0
42574	spa	15.0
42574	en-gb	25.0
42574	fre	15.0
42810	eng	456.0
42810	en-us	88.0
42810	en-gb	17.0
42810	spa	7.0
42810	jpn	4.0
32918	eng	509.0
32918	en-us	185.0
32918	en-gb	27.0
32918	spa	4.0
32918	en-ca	5.0
43602	eng	581.0
43602	en-us	109.0
43602	spa	4.0
43602	en-ca	14.0
43602	en-gb	29.0
43602	fre	4.0
43622	eng	501.0
43622	en-us	115.0
43622	en-gb	3.0
43622	spa	9.0
43622	en-ca	3.0
40126	en-us	108.0
40126	eng	552.0
40126	en-gb	11.0
40126	en	3.0
23612	eng	500.0
23612	en-us	111.0
23612	en-ca	12.0
23612	spa	4.0
23612	en-gb	10.0
44397	eng	656.0
44397	en-ca	14.0
44397	en-us	131.0
44397	en-gb	14.0
44397	spa	5.0
24143	eng	631.0
24143	en-us	90.0
24143	en-gb	14.0
24143	ger	3.0
45493	en-gb	15.0
45493	eng	540.0
45493	en-ca	8.0
45493	en-us	87.0
45493	spa	10.0
45493	jpn	5.0
46139	en-us	138.0
46139	eng	601.0
46139	en-ca	9.0
46139	spa	4.0
46139	en-gb	4.0
29703	eng	486.0
29703	en-us	169.0
29703	en-gb	23.0
29703	en-ca	5.0
29703	spa	5.0
46472	eng	517.0
46472	en-us	85.0
46472	ger	1.0
46472	en-gb	11.0
46482	eng	596.0
46482	en-us	167.0
46482	spa	5.0
46482	en-ca	9.0
46421	eng	650.0
46421	en-us	162.0
46421	en-gb	15.0
46421	en-ca	5.0
46421	spa	5.0
46977	eng	451.0
46977	en-us	112.0
46977	spa	8.0
46977	en-ca	2.0
46977	en-gb	16.0
46977	fre	8.0
38798	eng	512.0
38798	en-us	115.0
38798	en-ca	6.0
38798	en-gb	12.0
47411	eng	445.0
47411	en-us	91.0
47411	en-gb	8.0
47411	en-ca	5.0
47478	en-us	90.0
47478	eng	302.0
47478	spa	2.0
47478	en-gb	6.0
47478	en-ca	7.0
588	en-us	119.0
588	eng	515.0
588	en-ca	7.0
588	fre	4.0
47730	eng	535.0
47730	en-ca	14.0
47730	en-us	145.0
47730	en-gb	19.0
47800	eng	590.0
47800	en-us	124.0
47800	spa	4.0
47800	en-gb	4.0
47476	eng	486.0
47476	en-us	63.0
47476	fre	5.0
47476	spa	4.0
48482	eng	425.0
48482	en-ca	6.0
48482	en-us	142.0
48482	spa	4.0
48482	en-gb	9.0
26629	eng	521.0
26629	en-us	207.0
26629	en-gb	16.0
26629	en-ca	7.0
26629	spa	4.0
48687	eng	728.0
48687	en-us	133.0
48687	fre	5.0
48687	spa	10.0
48687	en-gb	5.0
10288	eng	515.0
10288	en-us	162.0
10288	en-gb	17.0
10288	spa	7.0
10288	en-ca	5.0
10288	fre	5.0
49288	eng	705.0
49288	en-us	170.0
49288	en-gb	10.0
49288	spa	5.0
49289	eng	695.0
49289	en-us	180.0
49289	en-gb	10.0
49289	spa	5.0
49295	en-us	175.0
49295	eng	700.0
49295	en-gb	10.0
49295	spa	5.0
49297	en-us	185.0
49297	eng	690.0
49297	en-gb	10.0
49297	spa	5.0
49298	eng	445.0
49298	spa	3.0
49298	en-us	142.0
49298	en-ca	9.0
49298	en-gb	8.0
50096	eng	635.0
50096	en-us	165.0
50096	en-ca	5.0
50096	en-gb	15.0
50096	ara	5.0
50096	spa	5.0
50101	eng	645.0
50101	en-us	190.0
50101	en-gb	10.0
50101	ara	10.0
50101	spa	5.0
50104	eng	670.0
50104	en-ca	5.0
50104	en-us	195.0
50104	en-gb	10.0
50104	ara	5.0
50104	spa	5.0
50133	en-us	180.0
50133	eng	665.0
50133	en-gb	15.0
50133	ara	5.0
50133	spa	5.0
48440	eng	565.0
48440	en-us	150.0
48440	en-gb	8.0
48440	en-ca	4.0
45554	eng	628.0
45554	en-us	123.0
45554	en-gb	8.0
51166	eng	486.0
51166	en-us	180.0
51166	en-ca	12.0
51166	en-gb	13.0
51460	eng	498.0
51460	spa	6.0
51460	en-us	121.0
51460	en-gb	20.0
51460	en-ca	6.0
51838	eng	573.0
51838	en-us	99.0
51838	spa	8.0
51838	en-gb	11.0
51838	en-ca	8.0
53245	eng	403.0
53245	en-us	163.0
53245	spa	7.0
53245	en-gb	17.0
53245	fre	6.0
53245	en-ca	3.0
53292	eng	670.0
53292	en-us	260.0
53292	en-ca	5.0
53292	spa	5.0
53293	eng	755.0
53293	en-us	165.0
53293	en-ca	10.0
29951	eng	344.0
29951	en-gb	8.0
29951	en-us	95.0
48559	en-us	137.0
48559	eng	598.0
48559	en-gb	4.0
9246	eng	428.0
9246	en-ca	7.0
9246	en-us	98.0
9246	en-gb	11.0
50999	eng	521.0
50999	en-us	104.0
50999	en-ca	4.0
50999	en-gb	19.0
50999	ger	3.0
52036	eng	544.0
52036	en-gb	15.0
52036	en-us	98.0
52036	spa	3.0
20967	en-us	67.0
20967	eng	652.0
20967	ger	5.0
